실태조사응답자일련번호,응답자성별코드,응답자연령대코드,응답자거주지역코드
FFNSR_RSPT_CONNO,RSPT_SXDST_CD,RSPT_AGGRP_CD,RSPT_RSDNC_ARCD
1081,F,5,1
1082,F,3,8
1083,M,5,8
1084,F,4,8
1085,M,4,3
1087,M,1,8
1089,F,4,1
1090,F,4,8
1091,M,3,5
1092,F,2,5
1094,F,1,1
1095,F,4,8
1096,M,5,8
1097,F,2,8
1098,F,4,8
1099,F,6,6
1100,F,4,5
1101,M,1,2
1102,F,4,1
1103,M,6,1
1104,M,4,4
1106,M,4,6
1107,M,1,8
1108,F,5,1
1109,F,2,5
1110,F,4,6
1111,F,3,6
1112,F,3,6
1113,M,5,1
1114,M,5,6
1115,F,5,1
1116,F,5,1
1117,M,4,6
1118,M,4,6
1119,F,6,6
1120,M,3,6
1121,M,6,6
1122,F,6,6
1123,F,5,6
1124,F,5,6
1126,M,6,6
1127,M,3,6
1128,F,6,6
1130,M,5,1
1131,F,4,8
1132,F,4,1
1133,M,2,1
1134,F,5,1
1135,F,4,3
1136,F,4,8
1138,F,5,1
1139,M,5,8
1140,F,5,8
1141,F,6,1
1142,F,4,8
1143,F,6,1
1144,M,5,8
1145,F,1,8
1146,M,1,3
1147,F,3,8
1149,M,2,1
1150,M,1,8
1151,F,5,1
1152,M,3,8
1153,F,3,8
1154,M,6,8
1155,F,4,8
1156,M,4,8
1157,M,5,3
1158,M,2,8
1159,F,3,1
1160,M,1,8
1161,M,4,1
1162,F,5,8
1163,M,3,3
1166,M,3,3
1167,F,6,8
1168,F,2,16
1169,M,4,8
1170,F,4,1
1171,M,6,8
1173,F,2,16
1174,M,2,1
1175,F,2,16
1176,M,2,3
1178,F,6,16
1180,F,3,8
1181,F,3,1
1182,F,6,16
1183,F,6,8
1184,F,6,16
1185,F,4,8
1186,F,3,3
1187,F,3,8
1188,M,2,1
1189,M,1,8
1190,F,4,10
1191,F,2,3
1193,F,1,8
1194,M,6,8
1195,F,1,1
1197,F,3,8
1198,F,1,8
1200,M,1,8
1201,M,4,1
1203,M,6,8
1204,M,2,1
1205,F,6,13
1206,F,3,1
1207,F,3,8
1208,M,2,8
1209,M,5,1
1210,M,1,8
1211,F,4,1
1212,M,4,8
1213,F,6,8
1214,F,1,8
1217,F,1,1
1218,F,5,13
1219,F,6,8
1220,M,1,10
1221,F,2,1
1222,F,3,8
1223,F,4,1
1224,F,4,8
1225,F,3,1
1226,M,3,1
1227,M,4,8
1228,F,4,10
1229,M,2,1
1230,F,5,1
1231,M,1,1
1232,M,3,8
1233,F,6,8
1235,F,4,8
1236,M,2,1
1237,M,1,1
1238,F,4,5
1239,M,5,8
1240,F,4,1
1241,F,4,1
1242,M,3,1
1243,M,3,1
1244,F,5,8
1246,F,3,8
1247,F,5,1
1248,F,4,15
1249,F,5,8
1250,F,3,8
1251,F,4,1
1252,F,4,15
1253,F,3,1
1254,F,5,8
1255,F,5,8
1256,F,4,8
1257,F,4,8
1258,M,4,1
1259,F,5,8
1260,F,6,8
1261,F,6,8
1262,M,1,16
1263,M,6,8
1264,F,4,10
1265,M,6,8
1266,F,4,1
1267,F,4,8
1269,M,6,16
1270,F,1,8
1271,M,5,8
1272,M,6,16
1273,F,5,8
1274,M,6,8
1275,F,5,8
1276,F,5,16
1277,F,3,8
1278,M,4,8
1279,F,4,3
1280,F,6,16
1281,F,3,1
1282,M,1,4
1283,F,6,1
1284,M,4,1
1285,M,5,16
1286,M,2,8
1287,M,2,1
1288,F,5,8
1289,F,5,8
1290,F,3,8
1291,M,1,1
1292,M,1,16
1293,F,4,8
1294,M,4,1
1295,M,2,8
1296,M,3,1
1297,M,4,1
1298,F,4,8
1299,F,2,1
1300,M,4,3
1301,M,4,8
1302,M,1,8
1303,F,3,1
1304,F,4,8
1305,F,3,1
1306,F,2,1
1307,F,1,3
1308,M,2,1
1309,F,6,8
1310,M,5,1
1311,M,3,8
1312,F,2,8
1313,M,6,4
1314,M,2,1
1315,F,2,8
1316,M,5,8
1317,F,5,3
1318,M,5,1
1319,F,3,1
1320,M,2,3
1322,F,1,8
1323,F,5,1
1324,F,2,8
1325,M,5,8
1326,M,3,8
1327,F,5,3
1328,F,1,3
1330,F,3,15
1331,M,1,8
1332,M,6,8
1333,F,4,1
1334,F,3,15
1335,M,1,8
1336,F,4,1
1337,M,5,3
1338,M,6,8
1340,F,1,1
1341,M,2,15
1342,F,5,1
1343,F,4,8
1345,M,3,1
1346,F,5,1
1347,F,3,1
1348,F,2,1
1349,M,1,8
1350,F,2,1
1351,M,5,1
1353,M,3,1
1354,M,1,1
1355,F,5,1
1356,M,1,1
1358,F,3,1
1359,F,4,8
1362,M,4,1
1363,M,3,14
1364,F,3,8
1365,F,4,8
1366,F,5,1
1367,F,1,1
1368,F,4,1
1369,M,4,8
1370,F,2,14
1371,M,1,16
1372,M,3,8
1373,F,4,8
1374,M,5,15
1375,F,2,1
1376,M,2,3
1377,M,2,1
1379,F,4,1
1380,M,5,1
1381,M,1,8
1382,M,5,8
1383,F,4,3
1384,M,2,1
1385,F,5,1
1387,M,2,14
1388,M,4,1
1389,M,1,8
1390,F,3,1
1391,M,4,1
1392,M,3,8
1393,F,3,8
1394,F,4,1
1395,M,5,1
1397,F,4,1
1398,F,5,4
1399,M,2,1
1400,F,2,8
1401,M,4,15
1402,F,1,1
1403,M,5,1
1404,F,6,1
1405,F,2,1
1406,F,4,3
1407,F,4,1
1408,F,6,8
1409,F,3,1
1410,M,4,1
1411,M,1,1
1412,F,5,4
1413,F,5,1
1414,F,5,1
1415,M,1,1
1416,F,2,8
1417,M,4,6
1418,F,2,1
1419,M,3,1
1422,F,3,1
1423,M,4,1
1424,M,5,6
1425,M,5,1
1426,F,6,1
1427,F,2,8
1428,F,4,1
1429,M,2,8
1430,M,2,1
1431,M,6,1
1432,M,1,1
1433,F,2,1
1434,M,1,1
1435,F,4,1
1436,F,4,8
1437,F,4,1
1438,F,4,1
1440,F,3,8
1441,M,5,1
1442,M,1,16
1443,F,4,1
1445,F,4,8
1446,F,2,1
1447,F,1,1
1448,F,3,1
1449,M,4,1
1451,F,3,1
1452,M,2,1
1456,M,6,1
1457,F,4,8
1458,F,4,1
1459,M,1,3
1460,F,5,1
1461,F,5,1
1463,M,3,8
1464,F,5,3
1465,M,3,1
1466,M,2,1
1467,M,1,1
1468,F,2,1
1469,F,4,1
1470,M,6,1
1471,F,2,1
1472,F,1,3
1474,M,3,1
1475,M,2,8
1476,M,1,1
1477,M,5,3
1478,M,2,1
1479,M,1,1
1480,M,1,3
1481,F,3,1
1482,M,3,1
1483,M,3,8
1484,M,3,1
1485,M,2,8
1486,M,4,1
1487,F,6,1
1488,M,5,1
1489,F,6,11
1490,M,4,1
1491,F,3,1
1492,F,1,1
1493,M,1,1
1494,M,4,8
1495,F,2,3
1496,F,3,1
1497,M,5,1
1499,F,3,1
1501,F,6,1
1503,M,4,1
1504,F,4,1
1505,F,4,1
1506,M,3,8
1507,F,5,1
1508,M,6,1
1509,F,6,11
1510,M,4,1
1511,M,5,1
1512,F,3,8
1513,F,2,1
1514,M,2,1
1515,F,6,3
1516,M,3,1
1517,F,4,1
1518,F,2,8
1519,M,3,1
1520,F,3,1
1521,F,4,1
1522,M,3,1
1523,M,1,1
1524,M,1,2
1525,F,4,1
1526,M,1,1
1527,M,1,2
1529,F,2,1
1530,M,1,3
1531,F,4,1
1532,F,3,8
1533,M,5,1
1534,M,3,1
1535,M,1,2
1536,F,6,1
1537,M,6,3
1538,M,4,4
1539,F,4,6
1540,F,4,1
1541,F,2,8
1542,M,6,11
1544,F,6,8
1545,F,2,1
1547,M,2,3
1548,M,5,1
1549,M,6,11
1550,M,2,2
1551,F,3,1
1552,F,3,8
1553,M,3,1
1554,F,3,4
1555,F,2,8
1556,F,1,3
1557,F,1,1
1558,M,2,2
1559,F,2,1
1560,M,6,3
1561,F,2,1
1562,M,3,8
1563,M,2,1
1564,F,5,1
1565,F,1,3
1566,M,6,11
1567,M,3,2
1568,F,2,1
1570,F,3,8
1571,M,3,2
1572,M,5,4
1573,F,3,8
1574,F,6,1
1575,F,2,1
1576,F,4,1
1577,F,3,1
1578,F,5,1
1579,M,1,2
1580,M,5,1
1581,F,6,4
1582,M,1,2
1583,M,4,1
1585,M,5,1
1586,M,4,1
1587,M,1,2
1588,F,1,8
1589,M,3,8
1590,M,1,2
1592,F,4,1
1593,M,2,2
1594,M,4,8
1595,F,6,1
1596,M,4,1
1597,M,3,8
1598,F,5,11
1600,F,4,3
1601,F,5,11
1602,M,3,8
1603,M,2,2
1604,M,2,2
1605,M,5,8
1606,M,2,2
1607,F,4,8
1608,F,1,2
1609,M,2,8
1610,F,1,2
1611,F,1,2
1612,F,1,3
1614,M,3,11
1615,M,4,11
1616,M,2,11
1619,F,6,11
1620,F,6,11
1621,F,6,11
1622,M,5,11
1623,F,5,1
1624,M,3,1
1625,F,4,8
1626,F,6,8
1627,F,4,1
1628,M,6,8
1630,F,6,8
1632,F,6,8
1634,M,6,8
1636,M,3,1
1637,M,4,8
1638,M,6,1
1639,F,2,1
1640,M,4,8
1641,F,5,1
1644,M,6,8
1646,M,2,3
1647,M,1,7
1648,F,5,8
1649,M,2,3
1650,M,6,1
1651,M,4,8
1652,M,5,1
1654,M,5,1
1655,M,4,8
1656,M,6,15
1657,M,6,15
1658,M,5,1
1659,F,3,7
1660,M,1,1
1661,M,1,1
1662,F,5,15
1663,F,3,1
1664,M,3,1
1666,M,1,5
1668,M,3,5
1669,F,1,1
1670,F,5,15
1671,F,1,1
1672,F,3,1
1673,F,6,15
1674,F,3,1
1675,F,6,15
1676,M,4,1
1677,F,3,16
1678,F,2,5
1680,F,2,4
1681,M,3,8
1683,F,6,1
1685,F,4,5
1686,M,1,8
1687,M,5,5
1689,F,6,1
1690,M,1,5
1691,F,4,1
1692,M,3,8
1693,M,3,15
1695,F,3,1
1696,F,5,5
1699,F,6,1
1700,F,5,5
1701,M,2,5
1702,F,1,1
1703,M,4,8
1704,F,1,1
1706,F,5,1
1707,M,1,1
1708,M,4,8
1709,M,5,1
1710,F,4,8
1711,M,5,1
1712,M,4,8
1713,F,6,15
1714,F,5,1
1715,F,4,1
1716,M,3,8
1719,F,6,15
1720,M,4,4
1721,F,6,1
1722,M,2,1
1723,M,6,1
1726,F,3,4
1727,M,4,8
1728,F,5,1
1729,M,5,1
1730,F,5,1
1731,F,3,8
1732,M,3,1
1733,F,2,4
1734,M,1,1
1735,F,3,4
1736,F,3,8
1737,F,4,8
1738,M,1,1
1739,M,3,8
1740,M,4,1
1741,F,6,4
1742,M,5,8
1743,M,2,8
1744,F,6,4
1745,M,2,1
1747,M,3,8
1748,M,4,1
1749,M,3,4
1750,M,2,1
1751,M,2,15
1752,F,4,1
1753,F,6,13
1755,M,4,8
1756,M,3,1
1757,M,1,1
1758,F,5,5
1759,M,4,8
1760,M,4,1
1763,M,1,5
1764,M,3,8
1765,F,4,13
1766,F,4,1
1767,F,2,1
1768,M,3,8
1769,M,2,5
1770,M,4,15
1772,M,4,13
1773,M,5,5
1774,M,3,8
1775,M,3,8
1776,M,2,5
1777,F,3,1
1778,M,4,13
1779,M,2,5
1780,F,5,8
1781,M,3,1
1782,M,5,1
1783,F,5,8
1786,F,4,2
1787,F,2,1
1788,F,4,1
1789,F,4,2
